time,oxy,chla,par,temp_air,pco2_sw,pco2_air,dpco2,mean_sst,mean_sal
2019-01-19 04:00:00,292.99,1.5053,2022.0,15.89,,,,15.68,34.656
2019-01-19 05:00:00,298.38,1.4411,1449.0,16.76,,,,15.036,34.768
2019-01-19 06:00:00,298.69,1.4277,1047.0,15.61,,,,14.652,34.797
2019-01-19 07:00:00,308.92,3.6621,258.0,14.3,,,,14.441,34.834
2019-01-19 08:00:00,322.04,4.181,63.0,12.78,,,,13.988,34.878
2019-01-19 09:00:00,313.82,3.6959,0.0,12.47,,,,13.991,34.888
2019-01-19 10:00:00,311.71,2.8871,0.0,12.32,,,,13.445,34.881
2019-01-19 11:00:00,314.59,2.8114,0.0,12.61,,,,13.065,34.865
2019-01-19 12:00:00,323.57,3.9528,0.0,11.56,,,,12.258,34.66
2019-01-19 13:00:00,322.23,3.5033,0.0,11.66,,,,11.942,34.67
2019-01-19 14:00:00,324.35,4.0539,0.0,11.93,,,,12.09,34.576
2019-01-19 15:00:00,324.85,2.1582,0.0,12.27,,,,12.065,34.395
2019-01-19 16:00:00,325.35,2.9396,0.0,11.95,,,,12.142,34.375
2019-01-19 17:00:00,327.51,3.54,0.0,10.37,,,,12.102,34.361
2019-01-19 18:00:00,324.51,2.8633,52.0,10.8,,,,12.329,34.371
2019-01-19 19:00:00,322.77,1.3261,400.0,11.52,,,,12.47,34.375
2019-01-19 20:00:00,320.99,1.2994,706.0,11.88,373.3,391.1,-17.8,12.564,34.366
2019-01-19 21:00:00,319.47,1.0803,780.0,11.98,362.3,390.8,-28.5,12.664,34.361
2019-01-19 22:00:00,320.2,1.0059,1311.0,12.42,372.8,390.1,-17.3,12.76,34.362
2019-01-19 23:00:00,319.76,0.9345,2027.0,12.78,371.2,389.7,-18.5,12.815,34.365
2019-01-20 00:00:00,315.65,0.9463,2082.0,13.08,369.8,388.9,-19.1,13.267,34.372
2019-01-20 01:00:00,315.25,1.2635,1304.0,13.35,362.1,388.7,-26.6,13.413,34.37
2019-01-20 02:00:00,315.42,1.3117,1319.0,13.66,361.4,388.2,-26.8,13.453,34.376
2019-01-20 03:00:00,315.24,1.3613,586.0,13.81,360.7,388.3,-27.6,13.342,34.376
2019-01-20 04:00:00,318.99,2.9712,272.0,13.37,369.2,388.7,-19.5,12.851,34.362
2019-01-20 05:00:00,318.19,4.1501,171.0,12.88,368.9,387.9,-19.0,12.986,34.362
2019-01-20 06:00:00,316.12,2.6965,357.0,12.9,356.7,388.3,-31.7,13.297,34.372
2019-01-20 07:00:00,315.74,5.8173,48.0,12.85,360.3,388.3,-28.1,13.273,34.374
2019-01-20 08:00:00,316.58,5.3545,49.0,12.89,361.8,388.6,-26.8,13.107,34.373
2019-01-20 09:00:00,318.04,5.1955,0.0,12.75,361.7,389.0,-27.2,12.901,34.373
2019-01-20 10:00:00,321.22,5.2014,0.0,12.75,374.7,389.1,-14.4,12.473,34.373
2019-01-20 11:00:00,324.32,4.7315,0.0,12.22,365.4,389.2,-23.8,12.107,34.376
2019-01-20 12:00:00,322.96,4.1575,0.0,12.13,363.4,389.0,-25.6,12.146,34.393
2019-01-20 13:00:00,322.2,4.598,0.0,12.37,366.4,388.7,-22.3,12.115,34.402
2019-01-20 14:00:00,324.68,4.489,0.0,12.21,366.7,388.8,-22.2,11.994,34.405
2019-01-20 15:00:00,324.49,4.2289,0.0,11.67,365.3,388.4,-23.1,12.097,34.392
2019-01-20 16:00:00,322.68,3.2244,0.0,11.49,369.5,388.4,-18.9,12.267,34.376
2019-01-20 17:00:00,320.63,3.1341,10.0,12.16,369.5,388.3,-18.8,12.295,34.372
2019-01-20 18:00:00,320.55,2.8949,127.0,11.87,369.2,388.2,-19.0,12.282,34.37
2019-01-20 19:00:00,320.78,2.7928,64.0,11.23,361.3,388.2,-26.8,12.289,34.369
2019-01-20 20:00:00,321.25,0.7072,935.0,12.2,370.0,388.2,-18.2,12.21,34.368
2019-01-20 21:00:00,324.2,0.8739,1695.0,10.85,362.9,388.4,-25.5,11.872,34.383
2019-01-20 22:00:00,325.42,0.6929,930.0,11.68,367.4,388.7,-21.3,11.681,34.389
2019-01-20 23:00:00,324.1,0.8079,721.0,11.45,362.2,388.7,-26.5,11.785,34.387
2019-01-21 00:00:00,323.75,0.6185,2332.0,11.23,366.6,388.7,-22.1,11.846,34.377
2019-01-21 01:00:00,324.56,0.6567,1451.0,11.0,365.2,388.7,-23.5,11.752,34.382
2019-01-21 02:00:00,323.68,0.6679,2081.0,10.14,366.1,388.8,-22.7,11.841,34.385
2019-01-21 03:00:00,323.02,0.7241,2086.0,11.05,368.3,389.1,-20.7,11.928,34.381
2019-01-21 04:00:00,322.88,0.7502,1528.0,11.17,368.6,389.5,-20.9,11.842,34.378
2019-01-21 05:00:00,324.35,2.0502,538.0,10.69,366.6,389.7,-23.1,11.749,34.381
2019-01-21 06:00:00,324.52,2.0386,411.0,10.96,367.9,390.0,-22.0,11.753,34.385
2019-01-21 07:00:00,323.72,2.5257,107.0,10.82,369.6,390.5,-20.9,11.633,34.376
2019-01-21 08:00:00,324.93,2.0802,31.0,10.81,373.7,391.2,-17.6,11.216,34.354
2019-01-21 09:00:00,327.92,3.3531,0.0,10.69,371.4,391.6,-20.2,11.125,34.339
2019-01-21 10:00:00,329.23,4.0212,0.0,10.72,378.3,391.9,-13.6,10.899,34.323
2019-01-21 11:00:00,329.56,3.7744,0.0,10.77,377.6,392.0,-14.4,11.019,34.323
2019-01-21 12:00:00,329.46,3.6495,0.0,9.81,379.7,392.2,-12.5,11.0,34.325
2019-01-21 13:00:00,330.6,3.3875,0.0,10.27,382.6,392.2,-9.6,10.897,34.317
2019-01-21 14:00:00,330.07,3.6044,0.0,11.0,378.0,392.2,-14.1,10.871,34.314
2019-01-21 15:00:00,328.75,3.2009,0.0,10.73,378.9,392.5,-13.6,10.89,34.333
2019-01-21 16:00:00,329.78,3.4375,0.0,10.42,377.8,392.8,-15.0,10.769,34.332
2019-01-21 17:00:00,330.01,3.5268,16.0,10.44,377.3,393.0,-15.6,10.738,34.331
2019-01-21 18:00:00,331.04,3.0954,95.0,10.28,377.6,393.1,-15.4,10.643,34.334
2019-01-21 19:00:00,329.94,1.6692,204.0,10.82,379.8,393.2,-13.3,10.695,34.329
2019-01-21 20:00:00,332.48,0.7311,570.0,10.65,384.6,393.5,-8.9,10.448,34.303
2019-01-21 21:00:00,334.26,0.5634,1365.0,10.92,385.9,393.5,-7.6,10.257,34.287
2019-01-21 22:00:00,334.06,0.5406,1543.0,10.91,387.1,393.1,-6.0,10.275,34.281
2019-01-21 23:00:00,334.46,0.5572,1791.0,10.84,386.3,392.7,-6.4,10.286,34.281
2019-01-22 00:00:00,333.72,0.7038,714.0,10.77,385.3,392.8,-7.5,10.409,34.291
2019-01-22 01:00:00,333.48,1.1805,433.0,10.42,380.7,392.3,-11.6,10.556,34.3
2019-01-22 02:00:00,331.1,1.0474,494.0,9.91,378.6,391.9,-13.3,10.787,34.304
2019-01-22 03:00:00,333.11,1.4363,368.0,9.79,376.5,390.9,-14.4,10.567,34.306
2019-01-22 04:00:00,332.37,2.2134,209.0,10.58,380.9,390.0,-9.1,10.691,34.287
2019-01-22 05:00:00,334.32,2.569,159.0,11.53,382.2,389.9,-7.6,10.29,34.248
2019-01-22 06:00:00,330.6,2.8278,97.0,11.69,383.5,389.4,-5.9,10.949,34.28
2019-01-22 07:00:00,326.93,2.9083,47.0,11.63,381.8,389.0,-7.1,11.2,34.302
2019-01-22 08:00:00,326.43,2.8424,1.0,11.72,382.4,388.5,-6.2,11.16,34.299
